samples	sygl.1	sel.1	maea.1	ubc.25	pdr.1	cul.4	ubc.20	rnf.5	marc.6	ufl.1	rbpl.1	ari.1.3	F44B9.5	rnf.113	ZK1248.11	marc.3	tag.314	herc.1	uev.2	Y105E8A.14	ari.1.2	ntl.4	ubc.9	ubc.3	ufd.2	marc.4	sel.11	otub.1	vps.36	wdr.48	rae.1	ufd.3	skr.18	T22C1.1	mig.32	bath.40	fsn.1	uba.1	trul.1	uev.1	cand.1	dss.1	F37A4.5	ate.1	rpn.10	pas.1	spsb.2	F10C2.5	rpn.11	pbs.5	pas.5	hsp.4	wdr.23	ubh.1	ubh.3	der.2	eor.1	rpt.1	ubh.2	Y82E9BR.18	rpn.7	ufd.1	pas.2	pbs.3	C28A5.6	vps.22	C47E12.3	B0303.4	fbxl.1	spsb.1	jamp.1	vms.1	rpn.6.2	vps.37	rpn.3	atg.3	ccdc.47	C14C10.5	C10G11.8	F35G12.12	aph.2	sel.10	zim.2	dhc.1	chp.1	Jun	npp.21	bir.1	oma.1	rad.50	mcm.6	cls.2	mog.3	smc.6	mdf.1	sel.13	T08D2.7	F54E7.9	chl.1	ebp.2	gpr.1	ppk.1	him.14	K07A1.10	nos.2	lmn.1	lin.54	Sep	pam.1	dpy.26	pole.1	nos.3	rde.2	smc.4	ptc.1	cyb.2.2	ksr.2	spdl.1	dnc.1	oma.2	zyg.9	orc.1	lem.2	mnat.1	wrm.1	met.2	psf.3	eme.1	clk.2	npp.1	ints.13	him.1	hsr.9	mcm.4	ced.12	scc.2	ran.2	gsp.2	gpb.1	cyb.2.1	zyg.1	bub.1	egg.5	let.92	gld.1	eri.1	tpxl.1	hoe.1	hmp.2	cin.4	syp.4	kbp.2	figl.1	saps.1	tbg.1	zim.1	F25B5.5	taf.10	rsa.2	cyy.1	fcd.2	rfs.1	ebp.1	helq.1	spe.6	npp.13	cdk.7	htp.3	F59E12.15	mcm.5	egl.20	pid.3	xpf.1	coh.3	gsp.4	cpb.1	him.17	lem.3	puf.5	hpl.2	ercc.1	F54A3.2	rha.1	tcc.1	him.18	tba.2	rack.1	ima.2	mlc.5	wee.1.3	him.10	kin.3	ced.10	zim.3	cdl.1	gender	genotype	age	stage	group
APR469--1.bam	0.105446	2.340298	0.156552	2.630784	1.158510	0.643397	0.751921	0.189157	0.435411	0.800185	1.806197	0.389359	0.295747	0.580071	0.368625	0.143069	0.228781	0.127571	0.008049	0.357093	0.318748	1.718106	1.065939	0.857800	1.394971	0.014058	1.302231	0.914812	1.195290	0.421074	0.402314	2.184187	0.712430	0.642852	0.240102	0.646252	0.385193	2.370845	0.119199	2.485188	0.556408	0.126839	3.033670	0.276038	2.535257	2.674834	0.020569	0.361165	1.838254	3.272480	6.687493	12.514064	0.527329	0.191283	0.271380	0.500249	0.198244	3.131005	0.481905	0.135781	3.375866	1.530748	2.036127	3.461203	2.422070	0.399165	0.539634	1.173044	0.229312	0.138374	0.132111	0.845351	1.539542	0.388378	3.338639	0.459102	2.490684	1.307927	10.403613	0.937931	0.140646	0.994260	0.227494	4.523585	1.270285	0.084006	2.647673	0.412381	0.704516	0.741933	0.398301	0.944102	1.426552	2.543489	1.031739	1.792644	0.031742	0.158373	0.157100	1.634318	0.687534	0.262039	0.318851	0.968245	0.107893	2.826309	0.199175	1.328558	1.993193	1.408097	2.769122	1.604220	0.544382	1.886741	1.815873	0.290612	0.102686	1.377997	1.268319	0.229640	1.421935	0.297523	0.616580	0.435556	0.396786	0.537598	0.240320	0.189840	0.200064	1.040523	0.429829	1.049556	2.340663	0.491905	0.237664	0.547089	0.529484	3.389342	1.085187	0.093639	0.232756	2.678353	0.282730	1.812319	1.432662	0.214589	0.862396	0.620246	0.270057	0.249380	2.622308	0.495385	0.249849	0.853093	0.287769	0.131099	0.498172	0.254272	0.957802	0.177040	0.229089	0.117697	0.079290	0.106479	1.247932	0.173534	0.090111	1.479479	0.446014	0.681709	0.274471	1.162578	0.729667	0.746460	11.256202	1.529212	1.091593	0.544583	0.133922	0.226744	0.312873	0.106930	0.895658	0.988126	0.943146	19.282838	21.419145	0.976755	1.490941	1.443656	1.312966	1.705315	0.185416	0.268268	0.942187	male	lat1_KO	d1_adult	whole_worm	group1
APR469-1.bam	1.444287	2.075018	0.097400	3.577234	1.368943	0.844527	0.842806	0.277985	0.555463	0.669363	2.668040	0.523379	0.262184	1.476929	0.699920	1.294214	0.000000	0.111897	0.003694	0.639119	0.616625	1.734637	3.637584	1.710194	2.015086	0.005591	1.205273	1.407575	0.780873	0.842812	0.654535	3.412502	0.959905	1.895108	1.262306	0.767568	0.541213	3.381489	0.351009	2.445530	0.725900	0.200347	0.015866	0.246254	2.159667	3.720611	0.604132	0.316167	4.469832	4.890462	13.118010	6.326606	0.474395	0.096390	0.478038	0.403380	0.315620	2.844671	0.810903	0.131888	4.470449	2.266769	3.401699	4.879665	0.017809	0.498070	0.397389	1.170009	0.088142	0.141942	0.172675	1.335516	0.205750	0.676157	3.689623	0.832389	4.519519	1.891938	0.107562	1.117900	0.309706	1.162100	0.458327	4.422183	1.400651	0.029083	3.050555	0.511406	2.424547	1.271183	2.840756	1.572770	3.099422	3.472905	1.869656	2.419085	0.089829	0.183719	0.332195	2.497372	1.138959	0.334621	0.916562	1.709545	2.250651	4.114288	0.995059	1.589294	1.971721	1.610843	7.244366	2.751908	0.872295	2.652646	4.945901	1.997092	0.154527	0.904858	1.339623	5.760632	2.508455	2.036633	2.333112	0.689414	0.826978	1.418895	0.876495	0.189417	0.586823	1.050250	0.515822	2.149699	5.286865	2.943826	0.420649	0.632281	1.104894	5.922017	0.748687	1.256949	0.548709	3.185483	5.312824	2.371741	8.349684	0.535367	1.607389	0.750765	1.039822	0.990083	3.729018	0.858846	0.401595	1.480045	0.525293	0.208812	0.476387	0.871934	1.387318	0.416483	0.355380	0.063199	0.082366	0.114704	0.040479	0.176281	0.163287	2.409339	0.275416	3.061453	0.011377	2.426490	0.889590	0.866375	0.123976	0.610592	2.300148	1.298075	9.456709	0.520671	0.257921	0.115705	1.221359	1.897174	1.025925	22.518198	32.070916	6.501868	2.179260	2.079239	2.376744	1.646796	0.342783	0.565655	4.172183	hermaphrodite	lat1_KO	d1_adult	whole_worm	group2
APR469--2.bam	0.178475	2.865227	0.208069	3.274580	1.010648	1.044155	1.302622	0.210111	0.653387	0.998466	1.951381	0.354437	0.436793	0.734316	0.412775	0.158819	0.352958	0.148505	0.035421	0.417601	0.472967	1.916136	1.125694	0.872505	1.695082	0.016497	1.879770	1.263691	1.461538	0.722069	0.576306	2.830228	1.029619	0.829120	0.401515	0.775091	0.472156	3.222119	0.245627	3.591737	0.796063	0.350486	4.136303	0.426364	3.299863	3.159355	0.020115	0.466631	2.038304	3.969382	7.518019	16.160767	0.627661	0.132044	0.301582	0.739757	0.208800	3.957617	0.638935	0.186514	4.181327	1.780783	2.760270	3.548843	2.933858	0.531957	1.043179	1.475896	0.310766	0.138737	0.241628	1.094791	1.988109	0.583276	4.311909	0.478672	3.290271	1.672758	12.136651	1.244163	0.136362	1.498360	0.357252	5.291558	1.717660	0.112419	3.292388	0.452537	1.061991	0.871852	0.443504	1.175882	1.491248	3.462492	1.381853	1.811972	0.024251	0.119385	0.193741	1.881121	0.690998	0.321249	0.375178	1.416705	0.241720	3.435823	0.320163	1.745170	2.368249	1.736930	4.267189	1.997163	0.473093	2.340852	2.256600	0.491884	0.140367	2.474175	1.563454	0.192823	1.605959	0.433621	0.734150	0.458091	0.404144	0.614679	0.361803	0.206279	0.354667	1.667166	0.604831	1.461803	2.627949	0.446746	0.410564	0.663142	0.595865	3.502620	1.408431	0.091573	0.270850	3.433841	0.262772	2.282502	1.843541	0.332904	1.172040	0.820064	0.326494	0.269804	3.121782	0.663240	0.334006	0.963949	0.409527	0.151204	0.565176	0.699358	1.012162	0.278418	0.273064	0.200837	0.090163	0.139569	1.528688	0.194512	0.110932	1.816882	0.532210	0.905219	0.397427	1.224468	0.886131	0.794696	14.722719	2.320826	1.075419	0.622831	0.185435	0.274496	0.417434	0.090346	1.165285	1.382719	1.018257	21.619381	22.544807	0.963331	1.652340	2.128274	1.342627	2.554007	0.259096	0.320591	1.123801	male	lat1_KO	d1_adult	whole_worm	group1
APR469-2.bam	1.556654	2.438147	0.138952	3.923441	1.249663	0.912563	0.970686	0.301305	0.609059	0.759277	2.785502	0.592800	0.275669	1.626216	0.664655	1.266926	0.027498	0.111106	0.074265	0.661393	0.809898	1.965239	3.073754	1.563009	2.144896	0.010377	1.474242	1.597897	0.927249	1.060345	0.588739	3.613976	0.949840	1.871560	1.378823	0.774316	0.697823	3.925156	0.432940	6.305098	0.825294	0.199586	0.241894	0.280344	2.401809	4.099312	0.677598	0.361071	5.009985	5.984674	11.710832	5.855732	0.628876	0.189179	0.612070	0.553126	0.324214	3.482413	0.695457	0.154208	4.436486	2.081503	3.405510	4.875190	0.054903	0.558460	0.456730	1.119333	0.123152	0.135639	0.119322	1.230589	0.171171	0.701515	4.105516	1.084406	4.522807	2.277156	0.176608	1.241223	0.383923	1.254690	0.455220	4.408268	1.645934	0.048047	3.282450	0.367902	2.618926	1.507440	2.728137	1.369109	3.017840	3.706713	1.836681	2.738688	0.087454	0.194833	0.315270	2.089040	1.057739	0.355587	0.974696	1.803398	2.398836	4.112551	1.181127	1.536158	2.037735	1.608532	4.804349	3.115456	0.917331	3.203046	4.975221	2.617202	0.169638	0.970644	1.492561	5.924864	2.366138	2.197290	2.644568	0.694891	1.021673	1.340801	0.785796	0.223492	0.558226	1.030532	0.568389	2.376434	5.329671	2.736416	0.516061	0.648183	1.146959	5.651066	1.086377	1.478349	0.628173	3.181155	4.805750	2.368357	8.654549	0.542381	1.871569	0.937508	1.661143	1.064087	3.461149	1.170495	0.403517	1.544221	0.546879	0.260182	0.623427	0.925394	1.409512	0.454237	0.340759	0.165477	0.114558	0.144569	0.051241	0.215604	0.139729	2.134239	0.335593	3.127659	0.032677	2.731727	0.974333	0.981903	0.077065	0.734702	2.283620	1.495098	8.978289	0.562036	0.284402	0.148958	1.196969	2.191065	1.209338	20.632291	26.211285	5.927995	1.995784	2.149708	2.294939	1.805828	0.335126	0.640942	4.187940	hermaphrodite	lat1_KO	d1_adult	whole_worm	group2
APR469--3.bam	0.195037	2.135373	0.126662	2.132456	0.907454	0.690053	0.815021	0.197301	0.444251	0.770011	1.592064	0.301488	0.214283	0.532838	0.256018	0.095769	0.259192	0.102047	0.018308	0.309851	0.375520	1.484649	0.950982	0.656509	1.196571	0.024159	1.110857	0.950414	0.998229	0.422673	0.296220	2.038575	0.713112	0.582405	0.225733	0.635880	0.242040	2.234001	0.165688	2.594691	0.542494	0.246011	3.096278	0.267316	2.559616	2.155665	0.019061	0.350451	1.518107	2.704053	4.765257	10.245305	0.378981	0.071093	0.328380	0.752423	0.196609	2.690791	0.529325	0.134445	3.227387	1.285715	1.773598	2.327159	2.143490	0.330335	0.745339	1.024180	0.196808	0.103234	0.081146	0.746599	1.398762	0.392618	3.013625	0.413418	2.335569	1.187348	10.773386	0.991516	0.134554	1.067149	0.221867	3.923314	0.916642	0.086488	2.502855	0.472573	0.644779	0.730750	0.318931	0.834369	1.328745	2.619292	1.032538	1.299160	0.024567	0.126747	0.112435	1.470934	0.656512	0.254022	0.279239	1.068479	0.107088	2.554332	0.285748	1.211131	1.616287	1.209333	5.088442	1.441465	0.326033	1.753448	1.626059	0.353107	0.089320	1.516425	1.309781	0.290585	1.341727	0.275060	0.662880	0.372187	0.322826	0.511709	0.105489	0.192777	0.175569	1.307809	0.370856	0.913937	2.256727	0.400158	0.250930	0.511718	0.440265	2.761561	1.012760	0.136075	0.199729	2.832713	0.232363	1.687761	1.300117	0.248485	0.876274	0.558605	0.240755	0.211062	2.422956	0.369633	0.192232	0.723180	0.348441	0.108250	0.394454	0.637264	0.843661	0.250321	0.212646	0.156619	0.062913	0.102215	1.048958	0.136553	0.091827	1.207166	0.492249	0.613421	0.457821	0.969598	0.635699	0.578499	10.496470	1.614686	0.899414	0.600294	0.174608	0.251800	0.287590	0.065574	0.839662	1.095923	0.774740	16.685050	16.425990	0.626065	1.399323	1.349076	1.097900	1.535429	0.253177	0.331404	0.777593	male	lat1_KO	d1_adult	whole_worm	group1
APR469-3.bam	1.575349	2.094802	0.086883	3.310371	1.604565	0.769783	0.882512	0.260565	0.592073	0.802845	2.873440	0.573562	0.294435	1.646963	0.597296	1.503902	0.006849	0.101437	0.005241	0.582564	0.704047	1.795453	3.739002	1.621573	1.895051	0.009153	1.361203	1.576821	0.850940	0.924192	0.694129	3.348570	1.069425	2.121234	1.368238	0.829040	0.640756	3.582291	0.341865	2.467010	0.692766	0.257365	0.033765	0.288916	2.330719	3.618968	0.639883	0.377630	4.240156	4.753354	11.853043	5.892134	0.485067	0.107453	0.553303	0.450997	0.308935	3.189134	0.981557	0.154804	4.590085	1.882235	3.578796	5.361590	0.021478	0.445063	0.394944	1.181825	0.078823	0.119391	0.152439	1.284716	0.194612	0.553926	3.557865	0.980486	4.180806	1.924557	0.135441	1.090540	0.339582	1.208778	0.479410	4.640905	1.310154	0.026677	3.078705	0.414035	2.538802	1.413301	2.744902	1.542510	3.300984	3.685294	1.762960	3.015506	0.087837	0.126034	0.300534	2.454806	1.133554	0.421461	0.851899	1.777425	1.987470	4.117256	1.046809	1.575098	1.925683	1.583624	7.588695	3.139783	0.896565	2.855405	5.031050	2.122687	0.170752	0.937228	1.285178	5.861285	2.453791	2.218432	2.362977	0.587171	0.865184	1.474715	0.638259	0.239792	0.586470	0.924507	0.525903	2.259729	5.490690	2.958896	0.536516	0.688997	1.179889	5.897835	0.900033	1.448031	0.596806	3.078489	5.331590	2.570489	8.717453	0.541953	1.506620	0.793911	0.984502	1.042222	3.858028	0.860142	0.409508	1.447073	0.515969	0.253258	0.639149	0.979566	1.412291	0.383208	0.352304	0.104264	0.070037	0.140603	0.059559	0.178849	0.160737	2.517674	0.291295	2.854683	0.009224	2.349647	0.931097	0.908786	0.061182	0.568165	2.326679	1.339550	9.815177	0.543346	0.230423	0.125596	1.069927	1.990852	1.222581	20.920156	31.545700	6.536623	2.193869	2.146821	2.425329	1.763303	0.335290	0.643392	3.642623	hermaphrodite	lat1_KO	d1_adult	whole_worm	group2
APR469--4.bam	2.056032	2.570094	0.109625	4.252305	1.776001	0.870770	1.124225	0.310355	0.636188	0.945223	3.553016	0.574440	0.302207	1.724150	0.725780	1.506843	0.000000	0.116298	0.010432	0.743096	0.643529	1.795684	3.498058	2.057082	1.827020	0.008503	1.265513	1.628161	0.909823	1.085103	0.570383	3.346923	1.096230	1.952372	1.615731	0.807470	0.721516	3.528807	0.419341	2.561001	0.890295	0.271445	0.011202	0.308732	2.255897	4.010606	0.833855	0.407742	4.706475	4.377746	11.076198	6.687157	0.563059	0.111808	0.584450	0.440998	0.336097	3.054818	0.648621	0.184377	4.246182	2.025798	3.695377	4.859264	0.020119	0.471709	0.395795	1.230595	0.083732	0.127884	0.123545	1.661316	0.150281	0.691144	3.575845	0.997839	4.586459	1.974921	0.077844	0.996836	0.316077	1.124558	0.436778	4.518096	1.230019	0.037440	3.509237	0.383525	2.937482	1.539373	2.737939	1.446219	3.801027	3.916997	1.690554	2.907654	0.101137	0.131143	0.315336	2.337761	1.063013	0.433149	0.913450	2.123504	2.267962	3.751806	1.102166	1.587302	1.918213	1.694017	7.595973	3.156634	0.895307	3.303307	5.285628	2.387944	0.199198	1.102231	1.484820	5.390307	2.659952	2.287597	2.869416	0.695891	0.805582	1.522279	0.877060	0.228072	0.598053	1.037556	0.464861	2.335154	5.971774	3.030728	0.541051	0.747011	1.209257	6.002217	1.231247	1.264221	0.622059	3.437000	4.934441	2.814765	8.593236	0.632954	2.311962	0.875596	1.034677	0.993288	3.966747	0.713410	0.425924	1.635081	0.409162	0.226124	0.636139	1.148888	1.600926	0.450655	0.392786	0.112075	0.091615	0.132982	0.042342	0.193225	0.178381	2.634459	0.226282	2.882505	0.027541	2.627891	0.974237	1.074688	0.055819	0.541694	2.782432	1.416985	9.446136	0.550620	0.266243	0.175958	1.227198	2.410038	1.142781	22.192456	25.147501	6.078463	2.251640	2.438333	2.744419	1.731113	0.351934	0.524909	4.904693	male	lat1_KO	d1_adult	whole_worm	group1
APR469-4.bam	0.231718	2.155082	0.155298	2.588892	1.100653	0.716794	0.800762	0.206766	0.502078	0.783785	1.852021	0.279105	0.221594	0.675890	0.275238	0.168096	0.217204	0.125643	0.174955	0.314786	0.269141	1.622260	1.193314	0.822328	1.136387	0.029538	1.273868	0.892775	0.935177	0.528527	0.443552	1.849119	0.862001	0.583201	0.279733	0.503672	0.243723	1.995055	0.186609	2.258151	0.588024	0.262877	3.592907	0.282243	2.551903	2.172290	0.027322	0.387743	1.458929	2.728641	5.196963	10.838348	0.444643	0.142669	0.253230	0.651530	0.180736	3.030547	0.496881	0.146200	3.175763	1.434805	1.765333	3.116442	2.843737	0.408298	0.541015	1.098536	0.185965	0.130384	0.159936	0.938665	1.556976	0.381893	3.197709	0.374601	2.654746	1.041292	11.914907	1.019353	0.127270	0.977579	0.248269	4.144912	1.075044	0.107636	2.475841	0.294225	0.592000	0.663403	0.327158	0.943466	1.517965	2.750618	1.030049	1.705197	0.015811	0.143434	0.170234	0.970570	0.815147	0.301754	0.265611	1.333446	0.110864	2.382777	0.209985	1.277658	1.753714	1.467397	4.383421	1.506203	0.392769	1.837542	1.581822	0.263200	0.107430	1.718412	1.442982	0.237527	1.357335	0.227389	0.563997	0.456098	0.422634	0.487898	0.068732	0.203635	0.198002	1.077000	0.385500	1.063487	2.363477	0.336187	0.306403	0.567434	0.588626	2.797043	1.132511	0.178093	0.248386	2.759126	0.389370	1.568449	1.262457	0.248765	0.823428	0.576877	0.251572	0.237712	2.591554	0.538389	0.313005	0.768063	0.345425	0.131965	0.461406	0.537337	0.812391	0.147340	0.230363	0.135746	0.056781	0.109564	1.153890	0.133458	0.080614	1.465211	0.343908	0.618764	0.450333	0.894559	0.630954	0.811260	11.161067	1.248819	0.955063	0.633098	0.130585	0.274826	0.303562	0.077475	0.900626	1.049471	1.037906	16.112614	15.023822	0.782984	1.713166	1.376494	1.207541	1.654232	0.215837	0.274670	0.859469	hermaphrodite	lat1_KO	d1_adult	whole_worm	group2
APR469--5.bam	1.730197	2.767719	0.174317	4.032736	1.700207	0.979263	1.136231	0.375761	0.628442	0.880242	3.360028	0.617668	0.325955	1.660700	0.733623	1.622890	0.000000	0.127523	0.000000	0.831653	0.828107	1.996334	3.531954	2.241655	1.821512	0.002777	1.347557	1.683041	1.111716	1.194776	0.638983	3.431632	1.258081	1.900496	1.775488	0.774393	0.695652	3.466173	0.386776	2.691606	0.828349	0.563667	0.051212	0.369410	2.952845	3.950396	0.768505	0.359270	5.261736	3.903488	10.660210	6.924349	0.527221	0.133342	0.905514	0.558019	0.370208	3.544999	0.814525	0.165703	3.962284	1.764563	3.473650	4.370813	0.025869	0.548778	0.337717	1.175298	0.096560	0.130003	0.158540	1.716725	0.213742	0.767079	3.681496	1.188560	4.829123	1.952089	0.056419	1.071801	0.384493	1.417581	0.486609	4.411427	1.484063	0.051522	3.561865	0.596876	2.799425	1.734069	2.650176	1.396347	3.525773	3.780128	2.071849	3.343548	0.126364	0.175950	0.367949	2.476330	1.273632	0.388787	0.887385	2.299221	2.330526	4.054815	1.070629	1.792477	1.771406	1.903738	8.292170	3.264223	0.965648	3.493942	4.595233	2.505661	0.203259	1.012459	1.609648	5.029817	2.621408	2.030180	2.420832	0.788842	0.898245	1.766834	0.899343	0.222380	0.567494	0.935814	0.562247	2.375803	6.052336	2.947732	0.649639	0.767967	1.219407	5.957518	1.415809	1.733856	0.645024	3.380037	4.424703	2.554614	8.325011	0.641527	2.576360	1.173318	0.931959	0.981820	4.250466	0.978428	0.505021	1.767313	0.601240	0.249048	0.643434	0.826551	1.493729	0.623736	0.430900	0.109115	0.091049	0.154637	0.038714	0.222113	0.167390	2.618862	0.270740	2.788118	0.010492	2.824316	0.950511	0.805568	0.046397	0.643099	2.421293	1.546552	8.806628	0.726696	0.312323	0.138986	1.209804	2.354795	1.124064	20.430027	22.496357	5.508410	2.208553	2.492385	2.495788	2.097328	0.426958	0.690444	5.353900	male	lat1_KO	d1_adult	whole_worm	group1
APR469-5.bam	0.125953	2.193110	0.152791	2.174621	0.806910	0.666185	0.734980	0.176668	0.425249	0.668530	1.774385	0.263653	0.255018	0.589888	0.330668	0.230979	0.309015	0.116520	0.218727	0.314718	0.327744	1.431891	1.189026	0.751847	1.074170	0.064702	1.027887	0.603320	0.674740	0.441379	0.300811	1.790066	0.608299	0.552163	0.349862	0.426348	0.352659	2.160909	0.139655	2.178311	0.528239	0.437619	3.656308	0.237471	2.455340	1.962555	0.016785	0.263320	1.982910	2.660350	4.911594	10.155947	0.388255	0.115695	0.245619	0.571188	0.227714	2.415913	0.471910	0.142123	2.963295	1.203658	1.781066	2.938851	2.432639	0.425376	0.516152	0.994387	0.200049	0.139676	0.142471	0.786517	1.460932	0.353157	2.797010	0.319547	2.332916	1.071785	10.018566	0.747904	0.173787	0.862583	0.321685	3.555789	0.769959	0.132488	2.219966	0.379167	0.449050	0.582514	0.274187	0.779259	1.428345	2.290930	0.841387	1.708292	0.017484	0.129240	0.133420	1.402253	0.689695	0.298751	0.227082	1.172538	0.121024	2.254329	0.231250	1.265219	1.714265	1.263985	7.023796	1.561652	0.396458	1.434908	1.533240	0.350258	0.113374	1.461997	1.236918	0.241937	1.278120	0.217105	0.594318	0.437789	0.435673	0.558203	0.241529	0.214932	0.262609	1.018942	0.335182	0.841287	2.142137	0.386455	0.234069	0.520514	0.471006	2.434304	0.968230	0.126083	0.280935	2.629513	0.405789	1.563291	1.274028	0.191035	0.853548	0.458129	0.318219	0.262868	2.307704	0.646814	0.300109	0.707469	0.264976	0.145040	0.418148	0.487621	0.791433	0.119484	0.255934	0.131721	0.085771	0.111281	1.096486	0.175947	0.097889	1.324265	0.528924	0.544693	0.314731	1.161235	0.508971	0.616573	9.989482	0.974006	0.836778	0.608611	0.176494	0.180769	0.294268	0.093933	0.777377	0.921452	0.826476	15.851049	13.833892	0.663442	1.476098	1.194901	1.110340	1.652960	0.237504	0.319505	0.889370	hermaphrodite	lat1_KO	d1_adult	whole_worm	group2
