file 	 count 	count complement	 ratio
APR469--1.bam	0	0	0
APR469--2.bam	0	0	0
APR469--3.bam	0	0	0
APR469--4.bam	3	0	1.198577207351E-08
APR469--5.bam	2	0	1.190070475616E-08
APR469-1.bam	2	0	5.62292358435E-09
APR469-2.bam	0	0	0
APR469-3.bam	2	0	7.5443052813E-09
APR469-4.bam	0	0	0
APR469-5.bam	0	0	0
EG1.bam	0	0	0
EG10.bam	0	0	0
EG11.bam	0	0	0
EG12.bam	0	0	0
EG2.bam	0	0	0
EG3.bam	0	0	0
EG4.bam	0	0	0
EG5.bam	0	0	0
EG6.bam	0	0	0
EG8.bam	0	0	0
EG9.bam	0	0	0
G1-469-.bam	0	0	0
G1-469.bam	3	0	1.361969115334E-08
G1-N2-.bam	0	0	0
G1-N2.bam	3	0	1.537684306072E-08
G2-469-.bam	0	0	0
G2-469.bam	1	0	4.55909631489E-09
G2-N2-.bam	0	0	0
G2-N2.bam	0	0	0
G3-469-.bam	0	0	0
G3-469.bam	0	0	0
G3-N2-.bam	0	0	0
G3-N2.bam	0	0	0
G4-469-.bam	0	0	0
G4-469.bam	3	0	1.233661332766E-08
G4-N2-.bam	0	0	0
G4-N2.bam	0	0	0
G5-469-.bam	0	0	0
G5-469.bam	9	0	4.075585390028E-08
G5-N2-.bam	0	0	0
G5-N2.bam	0	0	0
N2--1.bam	7	0	2.050247831175E-08
N2--2.bam	2	0	5.85192869504E-09
N2--3.bam	0	0	0
N2--4.bam	1	0	4.0864214553E-09
N2--5.bam	0	0	0
N2-1.bam	4	0	1.155752213729E-08
N2-2.bam	2	1	9.189075E-09
N2-3.bam	0	0	0
N2-4.bam	0	0	0
N2-5.bam	1	0	4.00117397645E-09
VH1075-1.bam	0	0	0
VH1075-2.bam	1	0	4.21482151172E-09
VH1075-3.bam	0	0	0
VH1075-4.bam	0	0	0
VH1075-5.bam	0	0	0
