file 	 count 	count complement	 ratio
APR469--1.bam	0	0	0
APR469--2.bam	0	0	0
APR469--3.bam	0	0	0
APR469--4.bam	0	0	0
APR469--5.bam	0	0	0
APR469-1.bam	0	0	0
APR469-2.bam	0	0	0
APR469-3.bam	0	0	0
APR469-4.bam	0	0	0
APR469-5.bam	0	0	0
EG1.bam	0	0	0
EG10.bam	0	0	0
EG11.bam	0	0	0
EG12.bam	0	0	0
EG2.bam	0	0	0
EG3.bam	0	0	0
EG4.bam	0	0	0
EG5.bam	0	0	0
EG6.bam	0	0	0
EG8.bam	0	0	0
EG9.bam	0	0	0
G1-469-.bam	0	0	0
G1-469.bam	0	0	0
G1-N2-.bam	3	0	1.318017767705E-08
G1-N2.bam	0	0	0
G2-469-.bam	0	0	0
G2-469.bam	0	0	0
G2-N2-.bam	1	0	5.24773524277E-09
G2-N2.bam	11	0	4.250169538296E-08
G3-469-.bam	0	0	0
G3-469.bam	0	0	0
G3-N2-.bam	1	0	4.20484904369E-09
G3-N2.bam	0	0	0
G4-469-.bam	0	0	0
G4-469.bam	3	0	1.233661332766E-08
G4-N2-.bam	2	0	8.21483728339E-09
G4-N2.bam	3	0	1.350914519145E-08
G5-469-.bam	0	0	0
G5-469.bam	0	0	0
G5-N2-.bam	2	0	8.34042064052E-09
G5-N2.bam	4	0	2.111515499761E-08
N2--1.bam	4	0	1.171570189243E-08
N2--2.bam	0	0	0
N2--3.bam	0	0	0
N2--4.bam	3	0	1.225926436592E-08
N2--5.bam	0	0	0
N2-1.bam	0	0	0
N2-2.bam	3	0	9.18907503273E-09
N2-3.bam	0	0	0
N2-4.bam	2	0	5.53953626303E-09
N2-5.bam	1	0	4.00117397645E-09
VH1075-1.bam	0	0	0
VH1075-2.bam	3	0	1.264446453518E-08
VH1075-3.bam	1	0	4.54558777249E-09
VH1075-4.bam	0	0	0
VH1075-5.bam	1	0	5.28291904268E-09
