#chrom	start	end	APR469--1.bam	APR469-1.bam	APR469--2.bam	APR469-2.bam	APR469--3.bam	APR469-3.bam	APR469--4.bam	APR469-4.bam	APR469--5.bam	APR469-5.bam	EG10.bam	EG11.bam	EG12.bam	EG1.bam	EG2.bam	EG3.bam	EG4.bam	EG5.bam	EG6.bam	EG8.bam	EG9.bam	G1-469.bam	G1-469-.bam	G1-N2.bam	G1-N2-.bam	G2-469.bam	G2-469-.bam	G2-N2.bam	G2-N2-.bam	G3-469.bam	G3-469-.bam	G3-N2.bam	G3-N2-.bam	G4-469.bam	G4-469-.bam	G4-N2.bam	G4-N2-.bam	G5-469.bam	G5-469-.bam	G5-N2.bam	G5-N2-.bam	N2--1.bam	N2-1.bam	N2--2.bam	N2-2.bam	N2--3.bam	N2-3.bam	N2--4.bam	N2-4.bam	N2--5.bam	N2-5.bam	VH1075-1.bam	VH1075-2.bam	VH1075-3.bam	VH1075-4.bam	VH1075-5.bam
I	12483809	12486235	sygl.1	0.105446	1.444287	0.178475	1.556654	0.195037	1.575349	2.056032	0.231718	1.730197	0.125953	4.021375	0.487577	0.000000	0.824603	0.962701	1.496742	1.520782	2.757219	2.002314	0.209102	6.370013	2.672200	0.431559	3.172870	0.257842	3.013034	0.312431	3.399165	0.335366	2.616981	0.442993	2.471709	0.307159	3.347396	0.421653	2.796671	0.227361	2.924657	0.409369	2.892046	0.404362	0.111475	1.614203	0.172571	1.748857	0.161405	1.463377	0.143246	1.460450	0.147952	1.424366	0.364786	0.509908	0.643139	0.832245	0.539181
V	12560732	12563383	sel.1	2.340298	2.075018	2.865227	2.438147	2.135373	2.094802	2.570094	2.155082	2.767719	2.193110	21.385766	8.288233	34.948602	16.256151	1.331599	4.505322	21.036742	8.668275	10.563674	5.953832	27.567942	3.570540	2.550286	3.480458	2.454349	3.368477	2.743937	3.828235	2.550117	3.322909	3.501527	2.812273	2.717665	3.473200	2.845310	3.657254	2.381979	3.505301	3.000516	3.140921	2.708118	2.228605	2.396589	2.014245	2.687048	2.292073	2.374052	2.479371	2.573168	3.309658	2.264268	1.006533	1.183691	1.221659	1.573070	1.370119
I	13806917	13812268	maea.1	0.156552	0.097400	0.208069	0.138952	0.126662	0.086883	0.109625	0.155298	0.174317	0.152791	0.000000	0.069427	0.000000	0.071919	0.000000	0.000000	0.000000	0.119931	0.041655	0.360911	0.000000	0.224955	0.102443	0.160600	0.099651	0.177207	0.102454	0.209152	0.102031	0.163448	0.147819	0.119968	0.097270	0.196049	0.171514	0.212086	0.087440	0.239801	0.143772	0.237368	0.089383	0.154049	0.129786	0.103069	0.144474	0.131979	0.109818	0.153402	0.081626	0.178874	0.129313	0.082692	0.052662	0.106875	0.108393	0.114586
I	10562970	10564903	ubc.25	2.630784	3.577234	3.274580	3.923441	2.132456	3.310371	4.252305	2.588892	4.032736	2.174621	21.586576	11.901897	0.000000	21.879052	24.287448	15.035582	15.304417	16.944619	14.252882	11.374391	32.446028	6.802491	3.707070	6.080696	3.342128	6.313427	3.959211	7.369316	3.583183	5.882020	4.474492	4.302188	3.299008	6.832510	4.053027	6.808703	3.001080	5.935394	3.553019	6.036370	3.852897	2.203517	4.288123	2.252736	4.365980	2.385621	3.653418	3.084153	4.311837	2.310768	3.900311	1.422023	1.712317	1.948780	2.791676	2.111655
III	13771513	13773345	pdr.1	1.158510	1.368943	1.010648	1.249663	0.907454	1.604565	1.776001	1.100653	1.700207	0.806910	9.463544	4.313639	0.000000	12.075036	3.807810	0.491415	9.805812	4.526959	5.024074	6.181694	0.000000	2.010761	1.396367	2.574947	1.209045	2.341406	1.281363	2.609748	1.051825	1.974888	1.611269	2.487363	1.745552	2.062377	1.135001	2.304073	1.328906	2.041760	1.323441	1.901119	1.126885	0.995009	1.496165	0.970204	1.430064	0.856859	1.431091	1.347462	2.039164	1.806853	1.429710	0.633104	0.698702	0.624330	0.753428	0.742691
II	7302101	7305758	cul.4	0.643397	0.844527	1.044155	0.912563	0.690053	0.769783	0.870770	0.716794	0.979263	0.666185	1.789194	0.882584	0.000000	0.989733	0.000000	0.000000	0.213283	2.078828	1.428139	0.026770	0.000000	1.896959	1.157314	1.711916	0.985632	1.752780	1.357263	1.894302	1.197278	1.701655	1.490534	1.264680	1.081283	2.034324	1.361994	1.920015	0.981944	2.076629	1.373148	1.659427	1.391951	0.658446	1.101166	0.571720	0.896759	0.713185	0.854783	0.707788	0.701865	0.807006	0.893828	0.406989	0.364386	0.407951	0.690626	0.498204
III	188838	190883	ubc.20	0.751921	0.842806	1.302622	0.970686	0.815021	0.882512	1.124225	0.800762	1.136231	0.734980	0.766360	0.863265	0.000000	1.782882	0.849992	4.108821	2.588120	0.000000	0.302558	0.513528	0.012995	2.056633	1.064978	1.952039	1.173375	1.913155	1.345815	2.075917	1.397702	2.110722	1.533135	1.424487	0.999769	2.395297	1.568417	1.928346	0.931932	2.142833	1.069316	1.976686	1.396135	1.272844	1.416515	0.834826	1.243610	1.013794	0.906265	0.858458	0.838004	0.663065	0.952813	0.452419	0.497472	0.589699	0.682134	0.559681
III	4164274	4166845	rnf.5	0.189157	0.277985	0.210111	0.301305	0.197301	0.260565	0.310355	0.206766	0.375761	0.176668	0.518135	0.132937	0.000000	0.092907	4.866676	0.000000	0.000000	0.000000	1.094170	0.001731	0.000000	0.686312	0.174797	0.600223	0.183472	0.621475	0.210374	0.753463	0.220684	0.572683	0.336636	0.380206	0.171862	0.557593	0.241698	0.665293	0.146478	0.538242	0.293792	0.627342	0.260066	0.251844	0.426240	0.251571	0.441492	0.255649	0.342168	0.214403	0.321786	0.093072	0.288951	0.132991	0.130041	0.157157	0.277000	0.236216
I	10799623	10806925	marc.6	0.435411	0.555463	0.653387	0.609059	0.444251	0.592073	0.636188	0.502078	0.628442	0.425249	0.555347	1.347623	0.000000	3.427051	1.135714	2.229515	0.576473	0.932953	0.721559	0.121880	0.902591	1.034780	0.735162	0.965563	0.513989	1.031719	0.597109	1.118910	0.571767	0.871183	0.817923	0.783898	0.541530	1.022840	0.713538	1.006310	0.597532	1.029684	0.743255	0.909077	0.755937	0.511740	0.636833	0.409925	0.609605	0.415112	0.550951	0.557151	0.592886	0.639020	0.602872	0.325943	0.273412	0.349031	0.440394	0.344678
IV	7032696	7036859	ufl.1	0.800185	0.669363	0.998466	0.759277	0.770011	0.802845	0.945223	0.783785	0.880242	0.668530	0.000000	0.217743	0.059506	0.192853	0.000000	0.007209	0.002974	0.005929	0.500344	0.846572	0.000000	1.788320	1.055793	1.592625	0.958203	1.542425	1.364640	1.727266	0.973321	1.389023	1.517954	1.178718	1.095573	1.657547	1.108034	1.479735	0.955795	1.734571	1.210726	1.314862	1.205179	0.705216	0.948927	0.637121	0.809868	0.697044	0.840259	0.939835	0.798005	1.168755	0.848409	0.428381	0.469245	0.431532	0.626082	0.464301
